what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1606237727214
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1606237727214
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1606237727216
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1606237727217
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1606237727217
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1606237727219
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1606237727220
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1606237727221
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1606237727222
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1606237727224
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1606237727225
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1606237727227
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1606237727228
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1606237727229
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1606237727229
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1606237727231
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1606237727232
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1606237727242
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1606237727243
started,bundle,org.eclipse.wb.discovery.core,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.core",1606237727243
started,bundle,org.eclipse.wb.discovery.ui,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.ui",1606237727247
os,sysinfo,,,"win32",1606237727250
arch,sysinfo,,,"x86",1606237727250
ws,sysinfo,,,"win32",1606237727250
locale,sysinfo,,,"en_US",1606237727250
processors,sysinfo,,,"8",1606237727250
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1606237727250
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1606237727250
java.specification.name,sysinfo,,,"Java Platform API Specification",1606237727250
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1606237727250
java.specification.version,sysinfo,,,"1.6",1606237727250
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1606237727250
java.version,sysinfo,,,"1.6.0_18",1606237727250
java.vm.info,sysinfo,,,"mixed mode, sharing",1606237727250
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1606237727250
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1606237727250
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1606237727250
