what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86",1606326160232
ws,sysinfo,,,"win32",1606326160232
locale,sysinfo,,,"en_US",1606326160232
processors,sysinfo,,,"8",1606326160232
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1606326160232
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1606326160232
java.specification.name,sysinfo,,,"Java Platform API Specification",1606326160232
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1606326160232
java.specification.version,sysinfo,,,"1.6",1606326160232
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1606326160232
java.version,sysinfo,,,"1.6.0_18",1606326160232
java.vm.info,sysinfo,,,"mixed mode, sharing",1606326160232
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1606326160232
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1606326160232
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1606326160232
java.vm.specification.version,sysinfo,,,"1.0",1606326160232
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1606326160232
java.vm.version,sysinfo,,,"16.0-b13",1606326160232
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1606326160232
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606326205170
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606326238619
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1606326238724
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1606326238739
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1606326240595
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1606326241207
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1606326241207
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606326263560
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606326276190
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.v20110505-0800,"org.eclipse.ltk.core.refactoring",1606326276263
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1606326276681
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1606326276916
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1606326277018
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1606326277249
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1606326316647
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606326346016
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606326394917
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606326396516
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606326448318
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1606326448335
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606326456620
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606326462730
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1606326462753
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606326475391
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606326487329
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1606326487343
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606326489663
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606326529227
started,bundle,org.eclipse.epp.mpc.core,1.1.0.I20110525-0742,"org.eclipse.epp.mpc.core",1606326530757
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20110510,"org.eclipse.equinox.p2.transport.ecf",1606326530910
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1606326530934
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1606326530954
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1606326531039
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1606326531197
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1606326531198
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606326531537
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606326531649
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606326531843
started,bundle,org.eclipse.equinox.p2.ui,2.1.0.v20110601,"org.eclipse.equinox.p2.ui",1606326531931
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1606326531946
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.100.v20110519,"org.eclipse.equinox.p2.artifact.repository",1606326598814
started,bundle,org.eclipse.equinox.p2.director,2.1.0.v20110504-1715,"org.eclipse.equinox.p2.director",1606326602951
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1606326603095
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.100.v20110510,"org.eclipse.equinox.p2.extensionlocation",1606326610078
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606326917432
executed,command,org.eclipse.epp.mpc.ui,1.1.0.I20110525-0742,"org.eclipse.epp.mpc.ui.command.showMarketplaceWizard",1606326917447
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606326921152
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606326976203
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1606326976231
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606326984424
started,bundle,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser",1606327077786
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1606327078062
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1606327078107
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606327078222
executed,command,org.eclipse.epp.mpc.ui,1.1.0.I20110525-0742,"org.eclipse.epp.mpc.ui.command.showMarketplaceWizard",1606327078252
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606327139623
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606327154191
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606327181630
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606327211142
executed,command,org.eclipse.epp.mpc.ui,1.1.0.I20110525-0742,"org.eclipse.epp.mpc.ui.command.showMarketplaceWizard",1606327211167
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606327215897
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606327220610
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1606327220625
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1606327333413
closed,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1606327333415
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606327338562
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606327470586
executed,command,org.eclipse.epp.mpc.ui,1.1.0.I20110525-0742,"org.eclipse.epp.mpc.ui.command.showMarketplaceWizard",1606327470605
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606327484970
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1606327488174
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1606327518246
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1606327518277
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1606327528934
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1606327532872
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1606327533921
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1606327534015
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1606327534078
started,bundle,org.eclipse.m2e.launching,1.0.0.20110607-2117,"org.eclipse.m2e.launching",1606327534897
